follower,followed,favcount,defaultimage,lengthUserName,lengthDescName,ratioFollowerFollowed,getReputation,AgeOfAccount,FollowingRate,CountOfTweets,NumberOfTPerDay,AvgLinkCount,AvgRTCount,AvgHTCount,AvgFavCount,AvgDDifference,AvgNOfChars,AvgNOfWords,AvgNOfCapitalization,AvgNOfQuestionMark,AvgNOfExclamationMark,AvgNOfDotMark,AvgMaxWordLength,AvgNOfWhiteSpaces,AvgMeanWordLength,Type
9195397,796,5661,false,11,0,11552.0,0.999913,73333,125.39234723794199,10864,3.55614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
11491,1225,4375,false,14,158,9.0,0.903665,72532,0.15842662548943914,5180,1.7141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
3485,1141,1875,false,11,54,3.0,0.753351,68822,0.05063787742291709,3693,1.28811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
483524,395,810,false,14,0,1224.0,0.999184,63280,7.64102402022756,6547,2.48369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
4125607,96,13,false,14,111,42975.0,0.999977,52916,77.96520901050722,5817,2.63929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
2295174,450,1416,false,15,119,5100.0,0.999804,72158,31.807616619085895,8017,2.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
178462,1764,3877,false,11,91,101.0,0.990212,70341,2.5370978518929217,14348,4.89693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
1219371,1439,6724,false,16,49,847.0,0.998821,72014,16.932415919126836,43915,14.6383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
502109,116,10,false,13,119,4328.0,0.999769,77848,6.449863837221252,16489,5.08449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
6217611,1527,967,false,14,60,4071.0,0.999754,56562,109.92558608252891,10493,4.45374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
14201908,763,1175,false,15,128,18613.0,0.999946,35586,399.08694430393973,9848,6.64507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
87355225,630181,10,false,12,33,138.0,0.992838,89030,981.18864427721,15442,4.16339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
101257,1006,1013,false,14,35,100.0,0.990163,13123,7.715994818258021,9050,16.5751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
651412,7104,67013,false,10,158,91.0,0.989212,89695,7.2625229945927865,5367,1.43618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
48291,392,1181,false,13,149,123.0,0.991948,55340,0.8726237802674377,32236,13.9852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
8167,1593,1821,false,13,52,5.0,0.836783,52400,0.1558587786259542,8705,3.98763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
13161,1767,1167,false,10,112,7.0,0.881632,53970,0.24385769872151195,6182,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
23374,797,1574,false,19,65,29.0,0.967027,58719,0.39806536214853794,10890,4.45217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
1001771,341,680,false,11,34,2937.0,0.99966,17955,55.79342801448065,1039,1.38904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
30811,613,2590,false,8,160,50.0,0.980493,49578,0.6214651660010488,13918,6.73995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
4586003,2038,13226,false,11,55,2250.0,0.999556,68482,66.96654595368126,9372,3.28496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
5392,1255,29480,false,16,143,4.0,0.811193,76235,0.07072866793467568,26132,8.22796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
