@relation 808100

@attribute follower numeric
@attribute followed numeric
@attribute favcount numeric
@attribute defaultimage {false,true}
@attribute lengthUserName numeric
@attribute lengthDescName numeric
@attribute ratioFollowerFollowed numeric
@attribute getReputation numeric
@attribute AgeOfAccount numeric
@attribute FollowingRate numeric
@attribute CountOfTweets numeric
@attribute NumberOfTPerDay numeric
@attribute AvgLinkCount numeric
@attribute AvgRTCount numeric
@attribute AvgHTCount numeric
@attribute AvgFavCount numeric
@attribute AvgDDifference numeric
@attribute AvgNOfChars numeric
@attribute AvgNOfWords numeric
@attribute AvgNOfCapitalization numeric
@attribute AvgNOfQuestionMark numeric
@attribute AvgNOfExclamationMark numeric
@attribute AvgNOfDotMark numeric
@attribute AvgMaxWordLength numeric
@attribute AvgNOfWhiteSpaces numeric
@attribute AvgMeanWordLength numeric
@attribute Type {Human,Bot}

@data
9195397,796,5661,false,11,0,11552,0.999913,73333,125.392347,10864,3.55614,24.893,0.3923,1354.22,0.2439,1239.74,1467849980,100.133,17.0324,8.182,0.0744,0.2816,1.4067,17.9207,6.74514,Human
11491,1225,4375,false,14,158,9,0.903665,72532,0.158427,5180,1.7141,11.9987,0.2371,226.43,0.9931,3.8018,1448960000,114.41,18.9131,8.8924,0.1442,0.4152,1.3569,17.8943,6.32716,Human
3485,1141,1875,false,11,54,3,0.753351,68822,0.050638,3693,1.28811,9.01674,0.1764,353.147,0.8731,3.0507,1443410050,112.088,18.931,10.0384,0.064,0.1612,1.7386,16.4384,5.81859,Human
483524,395,810,false,14,0,1224,0.999184,63280,7.641024,6547,2.48369,17.3858,0.2203,32.5668,0.1541,61.0102,1396380030,75.9978,12.3502,6.1402,0.1445,0.685,1.0662,15.6089,6.75227,Human
4125607,96,13,false,14,111,42975,0.999977,52916,77.965209,5817,2.63929,18.475,0.0256,145.875,0.0197,222.662,1394640000,112.006,20.3912,6.409,0.3449,0.3555,4.0134,12.9146,5.1629,Human
2295174,450,1416,false,15,119,5100,0.999804,72158,31.807617,8017,2.667,18.669,0.5815,1141.49,0.7204,363.663,1447170050,101.839,16.8668,10.4082,0.1423,0.3552,1.7433,20.8724,7.2004,Human
178462,1764,3877,false,11,91,101,0.990212,70341,2.537098,14348,4.89693,34.2785,0.35,77.9122,0.2069,32.1359,1462179970,85.7694,14.3047,7.4841,0.1022,0.9025,2.3916,16.835,6.09388,Human
1219371,1439,6724,false,16,49,847,0.998821,72014,16.932416,43915,14.6383,102.468,0.9781,569.224,1.0416,59.7574,1486770050,112.706,18.9636,17.1452,0.1504,0.1218,1.7888,22.4408,8.14116,Human
502109,116,10,false,13,119,4328,0.999769,77848,6.449864,16489,5.08449,35.5914,0.5731,31.7565,0.3532,62.8659,1476930050,105.675,17.7063,15.522,0.1264,0.421,1.6329,22.1552,7.82302,Human
6217611,1527,967,false,14,60,4071,0.999754,56562,109.925586,10493,4.45374,31.1761,0.3207,2890.18,0.2313,6594.64,1469350020,125.454,21.6827,7.3213,0.0485,0.1147,1.7331,17.2257,5.71466,Human
14201908,763,1175,false,15,128,18613,0.999946,35586,399.086944,9848,6.64507,46.5155,0.506,4616.9,0.1483,9641.67,1474329980,120.665,21.6401,8.3713,0.0658,0.0572,2.0828,19.818,6.18266,Human
87355225,630181,10,false,12,33,138,0.992838,89030,981.188644,15442,4.16339,29.1437,0.6361,2352.98,0.6178,4716.5,1439949950,115.122,20.0065,9.8151,0.0242,0.0124,1.8851,20.3908,6.62031,Human
